"x" "y"
467.016777592901 776.01888927155
445.34179145868 827.49698134033
364.060593455352 911.48755261043
323.419994453688 914.19692587721
339.676234054354 957.54689814565
345.094980587909 873.55632687555
323.419994453688 838.33447440744
282.779395452024 838.33447440744
383.026206322795 781.43763580511
404.701192457016 762.47202293766
437.213671658347 740.79703680344
464.307404326123 705.57518433533
496.819883527454 729.95954373633
510.366749861342 651.38771899978
461.598031059346 673.062705134
399.282445923461 694.73769126822
412.829312257349 645.96897246623
372.188713255685 643.25959919945
393.863699389906 602.61900019779
472.435524126456 599.90962693101
480.563643926789 637.84085266589
445.34179145868 575.52526753001
461.598031059346 510.50030912735
504.948003327787 561.97840119612
437.213671658347 450.894097258241
423.666805324459 491.534696259905
377.60745978924 440.056604191131
347.804353854687 404.834751723022
380.316833056018 383.159765588801
415.538685524126 412.962871523355
388.444952856351 307.297314119028
334.257487520799 342.519166587137
339.676234054354 293.750447785141
353.223100388242 258.528595317032
328.838740987244 188.084890380814
277.360648918469 55.325600308712
548.297975596229 627.00335959878
