"","x","y"
"1",467.016777592901,776.01888927155
"2",445.34179145868,827.49698134033
"3",364.060593455352,911.48755261043
"4",323.419994453688,914.19692587721
"5",339.676234054354,957.54689814565
"6",345.094980587909,873.55632687555
"7",323.419994453688,838.33447440744
"8",282.779395452024,838.33447440744
"9",383.026206322795,781.43763580511
"10",404.701192457016,762.47202293766
"11",437.213671658347,740.79703680344
"12",464.307404326123,705.57518433533
"13",496.819883527454,729.95954373633
"14",510.366749861342,651.38771899978
"15",461.598031059346,673.062705134
"16",399.282445923461,694.73769126822
"17",412.829312257349,645.96897246623
"18",372.188713255685,643.25959919945
"19",393.863699389906,602.61900019779
"20",472.435524126456,599.90962693101
"21",480.563643926789,637.84085266589
"22",445.34179145868,575.52526753001
"23",461.598031059346,510.50030912735
"24",504.948003327787,561.97840119612
"25",437.213671658347,450.894097258241
"26",423.666805324459,491.534696259905
"27",377.60745978924,440.056604191131
"28",347.804353854687,404.834751723022
"29",380.316833056018,383.159765588801
"30",415.538685524126,412.962871523355
"31",388.444952856351,307.297314119028
"32",334.257487520799,342.519166587137
"33",339.676234054354,293.750447785141
"34",353.223100388242,258.528595317032
"35",328.838740987244,188.084890380814
"36",277.360648918469,55.325600308712
"37",548.297975596229,627.00335959878
