"x" "y"
282.779395452024 14.685001307049
309.8731281198 36.359987441269
331.548114254021 66.163093375823
336.966860787576 87.8380795100441
347.804353854687 106.803692377487
345.094980587909 133.897425045263
364.060593455352 155.572411179483
369.479339988907 185.375517114037
385.735579589573 223.306742848923
393.863699389906 253.109848783477
401.991819190239 280.203581451253
410.119938990571 307.297314119028
412.829312257349 339.80979332036
429.085551858014 383.159765588801
442.632418191902 418.38161805691
464.307404326123 456.312843791796
480.563643926789 491.534696259905
504.948003327787 518.62842892768
526.622989462008 548.43153486223
548.297975596229 572.81589426323
569.972961730449 597.20025366423
586.229201331115 618.87523979845
580.81045479756 651.38771899978
578.101081530782 686.60957146789
572.682334997227 735.37829026989
542.879229062673 781.43763580511
523.91361619523 846.46259420777
496.819883527454 914.19692587721
467.016777592901 971.09376447954
450.760537992235 998.18749714731
437.213671658347 1017.15311001476
401.991819190239 1017.15311001476
369.479339988907 1027.99060308187
345.094980587909 1030.69997634865
309.8731281198 1022.57185654831
274.651275651692 995.47812388054
242.13879645036 968.38439121276
220.46381031614 946.70940507854
193.370077648364 925.03441894432
166.276344980588 906.06880607688
141.89198557959 884.39381994266
125.635745978924 876.26570014232
93.123266777593 868.13758034199
82.285773710483 846.46259420777
63.320160843039 805.82199520611
49.773294509151 765.18139620444
33.517054908486 751.63452987055
22.679561841376 724.54079720278
36.226428175264 692.02831800145
57.901414309484 656.80646553334
68.738907376595 632.42210613234
79.576400443705 599.90962693101
87.704520244038 572.81589426323
112.088879645036 545.72216159546
125.635745978924 526.75654872801
133.763865779257 491.534696259905
150.020105379922 459.022217058574
166.276344980588 431.928484390798
177.113838047698 393.997258655912
187.951331114809 353.356659654248
196.079450915141 310.006687385806
201.498197448697 269.366088384142
201.498197448697 204.34112998148
190.660704381586 185.375517114037
185.241957848031 152.863037912706
182.532584581254 106.803692377487
193.370077648364 63.453720109045
223.173183582917 33.650614174492
255.685662784248 11.975628040271
