      x             y           diameter         height
 -1.993875      0.9297642       1  	     1.70    
 -1.019901      0.4120694       1  	     1.70
 -4.914071       1.985425       1  	     1.60
 -4.469962       1.452390       5  	     4.10
 -4.303847      0.9148214       3  	     3.10
 -3.814774      0.8108644       4  	     4.30
 -3.423515      0.7276988       2  	     2.30
 -3.130071      0.6653246       4  	     4.00
 -4.431633      0.7814268       7  	     5.40
-0.9000000      2.0670868E-06   2  	     1.80
 -3.899406      6.8073884E-02   3  	     3.20
 -1.315571     -0.4788248       1  	     1.30
 -2.499282     -0.7166504       5  	     3.80
 -2.704594     -0.7246863       1  	     1.50
 -4.510529      -1.641685       2  	     2.10
 -4.134652      -1.504878       3  	     3.30
 -4.107759      -1.576808       3  	     3.00
 -4.040682      -1.470676       4  	     3.20
 -3.174177      -1.218442       1  	     1.50
 -3.150349      -2.124924       1  	     1.60
 -4.948165      -3.213357       2  	     2.10
-0.5656871     -0.5656838       1  	     1.40
 -3.217394      -2.699698       3  	     2.80
 -2.877367      -2.778625       4  	     4.00
 -4.027665      -4.973723       1  	     1.40
 -4.847309      -7.464154       1  	     1.60
 -4.738381      -7.296420       3  	     4.00
-0.3914369     -0.5803250       1  	     1.90
 -3.444492      -5.512302       7  	     4.80
 -1.960709      -3.019208       1  	     1.60
 -2.225672      -3.561795       3  	     3.00
-0.9000050      -1.558843       3  	     3.10
 -2.450014      -4.243516       6  	     4.40
 -3.102800      -5.597556       1  	     2.10
 -3.248244      -5.859941       2  	     3.00
 -3.400019      -5.888962       1  	     2.40
 -3.286322      -6.180622       1  	     1.90
 -3.393688      -6.122327       2  	     2.30
 -3.700021      -6.408576       6  	     4.80
 -4.600026      -7.967419       1  	     1.80
 -1.436497      -3.946704       1  	     2.00
 -2.701983      -7.423563       3  	     3.50
 -1.941167      -7.244437       3  	     3.30
 -1.967049      -7.341030       2  	     2.80
 -1.669284      -6.695035       1  	     1.65
 -1.475744      -5.918799       2  	     2.40
 -1.268229      -4.733033       3  	     3.50
-0.6531979      -2.619796       0  	     1.00
-0.7119707      -4.037709       3  	     3.00
 -1.007178      -5.711882       1  	     2.40
-0.9506087      -7.741857       3  	     3.40
-0.7212717      -6.862198       0  	     0.80
-2.3614140E-05  -7.100000       2  	     2.30
-2.2616361E-05  -6.800000       7  	     5.00
-1.9623018E-05  -5.900000       4  	     3.60
 0.3820261      -7.289998       3  	     3.40
 0.3506266      -6.690819       2  	     4.00
 0.5939180      -6.674507       1  	     1.50
 0.5839180      -6.684507       4  	     4.70
 0.5752028      -6.574887       6  	     5.00
 0.4254918      -6.085142       2  	     2.80
 0.5229116      -5.977170       1  	     1.40
 0.7839378      -7.458917       2  	     2.90
 0.7734853      -7.359465       5  	     4.60
 0.6376027      -6.066586       1  	     1.60
 0.6271502      -5.967134       1  	     2.30
 0.6166977      -5.867682       3  	     4.40
 0.5957927      -5.668777       2  	     3.60
 0.6580755      -5.359752       6  	     4.90
 0.3149265      -1.364119       1  	     2.10
 0.7741384      -3.104949       1  	     1.50
 0.8709057      -3.493068       3  	     3.00
  1.204589      -3.498423       3  	     3.00
  1.530154      -4.443943       3  	     3.20
  1.953639      -4.602531       3  	     3.20
  1.992711      -4.694582       2  	     3.00
  2.031784      -4.786633       2  	     3.00
  2.198075      -5.154835       1  	     1.90
  2.188075      -5.154835       3  	     3.60
  2.237032      -5.024508       3  	     3.30
  2.318379      -5.207218       1  	     2.40
  3.634487      -7.794261       7  	     4.90
  2.323348      -4.763618       2  	     2.50
  2.411021      -4.943377       1  	     1.60
  4.302621      -6.625516       7  	     3.90
  4.106847      -6.572390       4  	     4.00
  2.384621      -3.816226       4  	     4.20
  1.539145      -1.970033       3  	     3.10
  4.719881      -5.828613       1  	     1.40
  3.583619      -3.341807       4  	     3.80
  2.120918      -1.977804       1  	     1.80
  4.457258      -2.678217       2  	     2.90
  3.221761      -1.367573       1  	     2.20
  3.129711      -1.328499       3  	     3.50
  1.933057     -0.8205435       3  	     3.20
  4.079437     -0.4996840       1  	     2.10
  4.069437     -0.5096840       6  	     5.20
  2.757459     -0.4862275       3  	     3.50
  2.673722     -0.3757801       5  	     3.90
  2.382109     -0.2924980       1  	     1.50
  2.696299     -0.1413200       0  	     0.90
  3.305476     -0.1727244       2  	     2.80
  3.295476     -0.1627244       1  	     1.50
  3.595065     -0.1884266       1  	     2.30
  3.894654     -0.2041288       4  	     4.00
  4.397319     -0.1535792       0  	     0.90
  2.490487      0.2178892       2  	     2.30
  4.881354      0.4270628       1  	     1.20
  3.366912      0.4731882       2  	     2.50
  3.862046      0.5427747       3  	     3.70
  4.159126      0.5845266       1  	     2.00
  4.037712      0.7119570       4  	     3.80
  3.325702      0.7068992       0  	     1.30
  2.934443      0.6237346       3  	     3.20
  4.733037       1.268212       2  	     2.70
  4.698464       1.710100       5  	     4.80
  3.296725       1.679764       2  	     2.30
 0.6709366      0.4357109       6  	     4.50
  2.289731       1.430781       0  	     1.30
 0.7372370      0.5162184       0  	     1.30
  2.374739       1.992640       3  	     3.10
  1.198207       1.845074       5  	     4.30
 0.8714234       1.341872       1  	     2.10
 0.6180466       1.028600       6  	     4.80
 0.2079127      0.9781474       2  	     2.50
-0.1395106       1.995128       0            1.20    
