"x" "y" "z"
6.36363636363636 76.3636363636364 -4
58.1818181818182 72.7272727272727 -10
66.3636363636364 49.0909090909091 -13
28.1818181818182 12.7272727272727 -15
41.8181818181818 50 -15
24.5454545454545 56.3636363636364 -22
2.72727272727273 61.8181818181818 -11
43.6363636363636 31.8181818181818 -25
74.5454545454545 16.3636363636364 -23
15.4545454545455 19.0909090909091 -24
50 95.4545454545455 -26
80.9090909090909 95.4545454545455 -25
22.7272727272727 93.6363636363636 -42
56.3636363636364 77.2727272727273 -38
38.1818181818182 51.8181818181818 -46
79.0909090909091 56.3636363636364 -46
81.8181818181818 30.9090909090909 -47
75.4545454545455 80.9090909090909 -53
33.6363636363636 79.0909090909091 -64
57.2727272727273 59.0909090909091 -62
7.27272727272727 31.8181818181818 -64
70.9090909090909 22.7272727272727 -68
56.3636363636364 8.18181818181818 -69
27.2727272727273 1.81818181818182 -69
32.7272727272727 35.4545454545455 -75
12.7272727272727 14.5454545454545 -80
52.7272727272727 44.5454545454545 -90
31.8181818181818 64.5454545454545 -94
9.09090909090909 97.2727272727273 -94
